,title,description,description_img,information
10,中都愛河濕地公園,中都濕地公園打造出兼具自然生態、教育解說及民眾休憩等眾多功能，呈現愛河沿岸多樣性的風貌，也因此有高雄都會桃花源的美稱。,"[{'img_alt': '中都濕地公園07', 'img_src': 'https://khh.travel/Image/889/?r=1590461387375'}, {'img_alt': '中都濕地公園05', 'img_src': 'https://khh.travel/Image/887/?r=1590461394405'}, {'img_alt': '中都濕地公園03', 'img_src': 'https://khh.travel/Image/885/?r=1590461396857'}]","{'phone': '+886-7-7995678', 'address': '高雄市三民區同盟三路與十全三路交叉處', 'googleMap': 'https://www.google.com/maps/place/22.64655,120.28653?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
11,檨仔林埤濕地公園,狹長型的檨仔林埤濕地公園，是高雄市近年來整治成功，兼具滯洪、防洪、休閒教育與生態功能的埤塘濕地公園之一。,[],"{'phone': '+886-7-7995678', 'address': '高雄市三民區鼎金後路461巷', 'googleMap': 'https://www.google.com/maps/place/22.6727,120.32707?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
12,愛河之心,位於高雄市的愛河中上游，愛河之心是二個人工蓄洪湖東湖與西湖構成，兩湖中間興建一座橋貫通，形狀好似一個心形。,"[{'img_alt': '愛河之心照-夜晚', 'img_src': 'https://khh.travel/Image/18375/?r=1590474195007'}, {'img_alt': '愛河之心空拍照-橫幅圖-白天', 'img_src': 'https://khh.travel/Image/18368/?r=1590474208920'}, {'img_alt': '愛河之心空拍照-夜晚', 'img_src': 'https://khh.travel/Image/18369/?r=1590474222587'}]","{'phone': '+886-7-7995678', 'address': '高雄市三民區博愛一路和同盟一路、二路', 'googleMap': 'https://www.google.com/maps/place/22.65132,120.30388?hl=zh-tw', 'openingHours': '星期日：24 小時營業星期一：24 小時營業星期二：24 小時營業星期三：24 小時營業星期四：24 小時營業星期五：24 小時營業星期六：24 小時營業', 'ticketInformation': None}"
13,中都唐榮磚窯廠,,[],"{'phone': '+886-7-2225136', 'address': '高雄市三民區中華橫路220號', 'googleMap': 'https://www.google.com/maps/place/22.64206,120.285?hl=zh-tw', 'openingHours': '10:00–17:00(部份區域開放，週一公休)', 'ticketInformation': None}"
14,新客家文化園區（高雄市客家文物館）,開闊廣大的園區與多元的活動，是體驗傳統客家文化與半日遊的絶佳樂活景點,[],"{'phone': '+886-7-3165666', 'address': '高雄市三民區同盟二路215號', 'googleMap': 'https://www.google.com/maps/place/22.64936,120.29509?hl=zh-tw', 'openingHours': '09:00–17:00(週一公休)', 'ticketInformation': None}"
15,金獅湖風景區,金獅湖風景區規劃完善，景色頗有東方韻味，沿著環湖迴廊漫步，細品綠蔭蓮花相映，晨昏時刻的湖光倒映之色更是令人流連忘返。,"[{'img_alt': '金獅湖飛瀑區', 'img_src': 'https://khh.travel/Image/20433/?r=1593682098554'}, {'img_alt': '蝴蝶', 'img_src': 'https://khh.travel/Image/20348/?r=1590459787202'}]","{'phone': '+886-7-3108142', 'address': '高雄市三民區金鼎路114巷11-2號', 'googleMap': 'https://www.google.com/maps/place/22.66526,120.32769?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
16,彪琥台灣鞋故事館,,"[{'img_alt': '彪琥台灣鞋故事館5', 'img_src': 'https://khh.travel/Image/5/?r=1590512261497'}, {'img_alt': '彪琥台灣鞋故事館1', 'img_src': 'https://khh.travel/Image/1/?r=1590512269499'}]","{'phone': '07-3892246', 'address': '高雄市三民區民族一路335巷43-1號', 'googleMap': 'https://www.google.com/maps/place/22.65374,120.31344?hl=zh-tw', 'openingHours': '09:00–18:00(採預約制參觀，特定休館日另行於網站公告)', 'ticketInformation': None}"
17,國定古蹟-竹仔門電廠,,"[{'img_alt': '竹子門發電廠 (10)', 'img_src': 'https://khh.travel/Image/1447/?r=1590549852537'}, {'img_alt': '竹子門發電廠 (8)', 'img_src': 'https://khh.travel/Image/1446/?r=1590549839183'}, {'img_alt': '竹子門發電廠 (6)', 'img_src': 'https://khh.travel/Image/1445/?r=1590549830318'}]","{'phone': '+886-7-6850579', 'address': '高雄市美濃區獅山里竹門20號', 'googleMap': 'https://www.google.com/maps/place/22.8694,120.58639?hl=zh-tw', 'openingHours': '平日：08:00–16:30', 'ticketInformation': None}"
18,佛光緣美術館 (總館),,[],"{'phone': '+886-7-6561921#1436', 'address': '高雄市大樹區佛光山寺(大雄寶殿後方)', 'googleMap': 'https://www.google.com/maps/place/22.75196,120.44484?hl=zh-tw', 'openingHours': '09:00–17:00', 'ticketInformation': None}"
19,市定古蹟-竹寮取水站,,[],"{'phone': '+886-7-6512077', 'address': '高雄市大樹區竹寮路47號', 'googleMap': 'https://www.google.com/maps/place/22.66786,120.42636?hl=zh-tw', 'openingHours': '08:30–17:30', 'ticketInformation': None}"
20,姑婆寮莊家古厝,,[],"{'phone': '+886-7-6512003', 'address': '高雄市大樹區姑山路119號', 'googleMap': 'https://www.google.com/maps/place/22.70983,120.42268?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
21,佛光山,佛光山寺由星雲法師於民國56年帶領弟子披荊斬棘一磚一瓦所建，大大小小的佛殿依山勢羅列，莊嚴雄渾、氣勢宏偉。,"[{'img_alt': '佛光山大佛空拍照', 'img_src': 'https://khh.travel/Image/18449/?r=1586426945194'}, {'img_alt': '佛光山-信徒虔誠祭拜照', 'img_src': 'https://khh.travel/Image/18456/?r=1586426961106'}, {'img_alt': '佛光山空拍照', 'img_src': 'https://khh.travel/Image/18451/?r=1586426972259'}]","{'phone': '+886-7-6561921', 'address': '高雄市大樹區興田里興田路153號', 'googleMap': 'https://www.google.com/maps/place/22.7474,120.44612?hl=zh-tw', 'openingHours': '08:30–17:30', 'ticketInformation': None}"
22,東照山關帝廟,,[],"{'phone': '+886-7-3710981', 'address': '高雄市大樹區忠義路1號', 'googleMap': 'https://www.google.com/maps/place/22.69409,120.39355?hl=zh-tw', 'openingHours': '05:00–21:00', 'ticketInformation': None}"
23,臺灣天壇,,[],"{'phone': '+886-7-6565176', 'address': '高雄市大樹區統嶺里7鄰統嶺路88號', 'googleMap': 'https://www.google.com/maps/place/22.77197,120.44693?hl=zh-tw', 'openingHours': '09:00–17:00', 'ticketInformation': None}"
24,信誼高爾夫球場,,[],"{'phone': '+886-7-6565280', 'address': '高雄市大樹區統嶺里信誼路１號', 'googleMap': 'https://www.google.com/maps/place/22.76584,120.41911?hl=zh-tw', 'openingHours': '每日視季節而定及球場能見度為準', 'ticketInformation': None}"
25,觀音山高爾夫球場,,[],"{'phone': '+886-7-6578190', 'address': '高雄市大樹區三和村三和路140號', 'googleMap': 'https://www.google.com/maps/place/22.73635,120.40334?hl=zh-tw', 'openingHours': '每日視季節而定及球場能見度為準', 'ticketInformation': None}"
26,高雄市天文教育館,,[],"{'phone': '+886-7-8131506#115', 'address': '高雄市小港區平和南路300號(港和國小內)', 'googleMap': 'https://www.google.com/maps/place/22.568,120.33746?hl=zh-tw', 'openingHours': '預約開放週二及週四09:30–11:30；13:30–15:30', 'ticketInformation': None}"
27,凝聚的綠寶石-R4高雄國際機場站,,[],"{'phone': '+886-7-7938888', 'address': '高雄市小港區高雄國際機場的3號出口旁', 'googleMap': 'https://www.google.com/maps/place/22.57009,120.34173?hl=zh-tw', 'openingHours': '05:45–00:00', 'ticketInformation': None}"
28,九番埤濕地公園,天光雲影倒映青草水岸，蟲嗚鳥唱綠意盎然的景緻，成為都市中舒心自在的美麗角落,"[{'img_alt': '九番埤濕地公園01', 'img_src': 'https://khh.travel/Image/273/?r=1590508158617'}, {'img_alt': '九番埤濕地公園04', 'img_src': 'https://khh.travel/Image/276/?r=1590508170088'}]","{'phone': '+886-7-7995678', 'address': '高雄市仁武區東起自中山高速公路，西側與九番埤相連', 'googleMap': 'https://www.google.com/maps/place/22.68715,120.32643?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
29,洪家古厝,,[],"{'phone': '+886-7-7995678', 'address': '高雄市內門區三平里二埔', 'googleMap': 'https://www.google.com/maps/place/22.95341,120.45893?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
30,雁門煙雨,,[],"{'phone': '+886-7-7995678', 'address': '高雄市內門區內東里西南方的鹹水埔', 'googleMap': 'https://www.google.com/maps/place/22.91956,120.42712?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
31,不老溫泉區,六龜風光秀麗，遊人到此登山健行欣賞自然美景之餘，也可在街頭林立的溫泉會館泡湯舒壓，享受身心靈煥然一新的暢快旅行,"[{'img_alt': '青春不老泉開賣', 'img_src': 'https://khh.travel/Image/20495/?r=1590506692795'}, {'img_alt': '不老溫泉05', 'img_src': 'https://khh.travel/Image/294/?r=1590471211735'}]","{'phone': None, 'address': '高雄市六龜區新發里境內', 'googleMap': 'https://www.google.com/maps/place/23.06606,120.68505?hl=zh-tw', 'openingHours': '依各家業者不同', 'ticketInformation': None}"
32,薛家古厝,,[],"{'phone': '+886-7-7995678', 'address': '高雄市左營區廍北里海平路40號', 'googleMap': 'https://www.google.com/maps/place/22.68578,120.28778?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
33,洲仔濕地公園,,"[{'img_alt': '洲仔濕地公園02', 'img_src': 'https://khh.travel/Image/310/?r=1590461050007'}, {'img_alt': '洲仔濕地公園04', 'img_src': 'https://khh.travel/Image/312/?r=1590461037510'}]","{'phone': '+886-7-5822371', 'address': '高雄市左營區環潭路58號', 'googleMap': 'https://www.google.com/maps/place/22.68055,120.29822?hl=zh-tw', 'openingHours': '平日：09:00–12:00；14:00–17:00「環境教育區」需網路預約申請 (週一休園)週六：09:00–12:00；14:00–17:00僅開放「管理服務區」每月前三週星期日，民眾免申請即可自行進出「管理服務區」及「環境教育區」參觀。', 'ticketInformation': None}"
34,原生植物園,,[],"{'phone': '+886-7-3497538', 'address': '高雄市左營區重光路(縱貫鐵路旁)', 'googleMap': 'https://www.google.com/maps/place/22.68055,120.3012?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
35,左營聖女小德蘭堂,,[],"{'phone': '+886-7-5813296', 'address': '高雄市左營區廍後街3號', 'googleMap': 'https://www.google.com/maps/place/22.68353,120.28826?hl=zh-tw', 'openingHours': '週二至週五：07：00(平日彌撒) 週六：19：30(週六彌撒) 週日：08：30、19：30(週日彌撒)', 'ticketInformation': None}"
36,高雄巨蛋,,[],"{'phone': '+886-7-9749888', 'address': '高雄市左營區博愛二路757 號', 'googleMap': 'https://www.google.com/maps/place/22.66915,120.30142?hl=zh-tw', 'openingHours': '視活動而定', 'ticketInformation': None}"
37,蓮潭滑水主題樂園,是一座綜合型的休閒娛樂園區，在這個國際級纜繩滑水賽事場地裡，除了擁有國際級的纜繩滑水設施供專業人士及業餘玩家練功，也是民眾體驗纜繩滑水的勝地,"[{'img_alt': '高雄旅遊網_200526_0056', 'img_src': 'https://khh.travel/Image/20460/?r=1590507140129'}, {'img_alt': '高雄旅遊網_200526_0006', 'img_src': 'https://khh.travel/Image/20458/?r=1590507152796'}]","{'phone': '+886-7-5811556', 'address': '高雄市左營區蓮池潭西南水域及陸域', 'googleMap': 'https://www.google.com/maps/place/22.67864,120.29523?hl=zh-tw', 'openingHours': '10:00–17:30(冬季週二、週三為保養公休日)', 'ticketInformation': None}"
38,田寮冷泉區（田寮花季度假飯店）,,[],"{'phone': '+886-7-6362288', 'address': '高雄市田寮區南安里崗北路111號', 'googleMap': 'https://www.google.com/maps/place/22.87468,120.35731?hl=zh-tw', 'openingHours': '依各家業者不同', 'ticketInformation': None}"
39,大崗山高爾夫球場,,[],"{'phone': '+886-7-6366411', 'address': '高雄市田寮區西德里長山路 1 號', 'googleMap': 'https://www.google.com/maps/place/22.8926,120.3714?hl=zh-tw', 'openingHours': '05:00–18:00', 'ticketInformation': None}"
40,甲仙化石館(暫停營業),,[],"{'phone': '+886-7-6753180', 'address': '高雄市甲仙區和安村四德巷10號之10', 'googleMap': 'https://www.google.com/maps/place/23.09219,120.58827?hl=zh-tw', 'openingHours': '08:00–12:00；13:00–17:00(週一、二公休)', 'ticketInformation': None}"
41,六義山登山步道,,[],"{'phone': '+886-7-6612031', 'address': '高雄市甲仙區南段紫霞入口', 'googleMap': 'https://www.google.com/maps/place/23.08858,120.57225?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
42,小林村紀念公園,公園為於小林村原址南側高地，佔地約1.7公頃，八成規劃為綠地，建構如昔日小林村的意象，是為了紀念2009年8月9日凌晨莫拉克風災中遭土石掩埋的462位小林村村民。,[],"{'phone': '+886-7-7995678', 'address': '高雄市甲仙區小林里五里埔', 'googleMap': 'https://www.google.com/maps/place/23.15425,120.64019?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
43,甲仙大橋,位於台20線南横公路的甲仙大橋横跨楠梓仙溪，是進入甲仙區的入口。橋頭有甲仙區的著名物產—芋頭的雕塑，橋身也以淺紫色迎接遊客。,[],"{'phone': '+886-7-7995678', 'address': '高雄市甲仙區文化路上', 'googleMap': 'https://www.google.com/maps/place/23.08059,120.58484?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
44,甲仙形象商圈,甲仙是南橫公路的起點，也是早年往來台東高雄的打尖補給站，使甲仙文化路漸漸形成熱鬧的商圈，琳琅滿目的名產行與小吃店，是入山前的的補給站也是伴手禮的採購地。,[],"{'phone': '07-7995678', 'address': '高雄市甲仙區文化路', 'googleMap': 'https://www.google.com/maps/place/23.08145,120.58718?hl=zh-tw', 'openingHours': '星期日：08:00 – 18:00星期一：08:00 – 18:00星期二：08:00 – 18:00星期三：08:00 – 18:00星期四：08:00 – 18:00星期五：08:00 – 18:00星期六：08:00 – 18:00', 'ticketInformation': None}"
45,陳家友善香草園,,[],"{'phone': '+886-939-270856', 'address': '高雄市甲仙區中正路竹山巷18-3號', 'googleMap': 'https://www.google.com/maps/place/23.08703,120.58968?hl=zh-tw', 'openingHours': '08:00–17:00', 'ticketInformation': None}"
46,錫安山,,[],"{'phone': '+886-7-6701218', 'address': '高雄市那瑪夏區錫安山', 'googleMap': 'https://www.google.com/maps/place/23.20369,120.66703?hl=zh-tw', 'openingHours': '06:30–17:00', 'ticketInformation': None}"
47,岡山文化中心,岡山文化中心是岡山區多元的休閒、藝文、展演等多功能的綜合性場地。佔地廣闊的舒心綠地上有多項大型裝置藝術，另有藝文廣場是戶外展覽及活動的最佳場所，極限運動場、林間小道則提供市民強身健骨。,[],"{'phone': '+886-7-6262620', 'address': '高雄市岡山區岡山南路42號', 'googleMap': 'https://www.google.com/maps/place/22.78327,120.29827?hl=zh-tw', 'openingHours': '09:00–21:00(週一公休，週六17:00休館)', 'ticketInformation': None}"
